CÓDIGO DO ALIMENTO,DESCRIÇÃO DO ALIMENTO,CÓDIGO DA PREPARAÇÃO,DESCRIÇÃO DA PREPARAÇÃO,CÓDIGO DO TIPO DE MEDIDA,DESCRIÇÃO DO TIPO DE MEDIDA,CÓDIGO DO TIPO DE MEDIDA PADRÃO,DESCRIÇÃO DO TIPO DE MEDIDA PADRÃO,QUANTIDADE    EM            GRAMAS,CÓDIGO DA FONTE DE REFERÊNCIA,DESCRIÇÃO DO ALIMENTO NA REFERÊNCIA
6300101,"ARROZ (POLIDO, PARBOILIZADO)",99,NAO SE APLICA,9,CANECA,12,COLHER DE ARROZ/SERVIR,100,1,Arroz - prato fundo raso
6300101,"ARROZ (POLIDO, PARBOILIZADO)",99,NAO SE APLICA,10,CANECO,12,COLHER DE ARROZ/SERVIR,100,1,Arroz - prato fundo raso
6300101,"ARROZ (POLIDO, PARBOILIZADO)",99,NAO SE APLICA,12,COLHER DE ARROZ/SERVIR,12,COLHER DE ARROZ/SERVIR,45,1,Arroz cozido - colher de arroz cheia
6300101,"ARROZ (POLIDO, PARBOILIZADO)",99,NAO SE APLICA,13,COLHER DE CAFE,12,COLHER DE ARROZ/SERVIR,3.1,1,Arroz cozido - 1/8 colher de sopa cheia
6300101,"ARROZ (POLIDO, PARBOILIZADO)",99,NAO SE APLICA,14,COLHER DE CHA,12,COLHER DE ARROZ/SERVIR,6.3,1,Arroz cozido - 1/4 colher de sopa cheia
6300101,"ARROZ (POLIDO, PARBOILIZADO)",99,NAO SE APLICA,15,COLHER DE SOBREMESA,12,COLHER DE ARROZ/SERVIR,12.5,1,Arroz cozido - 1/2 colher de sopa cheia
6300101,"ARROZ (POLIDO, PARBOILIZADO)",99,NAO SE APLICA,16,COLHER DE SOPA,12,COLHER DE ARROZ/SERVIR,25,1,Arroz cozido - colher de sopa cheia
6300101,"ARROZ (POLIDO, PARBOILIZADO)",99,NAO SE APLICA,17,CONCHA,12,COLHER DE ARROZ/SERVIR,100,1,Arroz cozido - concha média cheia
6300101,"ARROZ (POLIDO, PARBOILIZADO)",99,NAO SE APLICA,18,COPO AMERICANO,12,COLHER DE ARROZ/SERVIR,100,1,Arroz - prato fundo raso
6300101,"ARROZ (POLIDO, PARBOILIZADO)",99,NAO SE APLICA,21,COPO GRANDE,12,COLHER DE ARROZ/SERVIR,200,1,Arroz cozido - prato fundo cheio
6300101,"ARROZ (POLIDO, PARBOILIZADO)",99,NAO SE APLICA,22,COPO MEDIO,12,COLHER DE ARROZ/SERVIR,200,1,Arroz cozido - prato fundo cheio
6300101,"ARROZ (POLIDO, PARBOILIZADO)",99,NAO SE APLICA,28,ESCUMADEIRA,12,COLHER DE ARROZ/SERVIR,85,1,Arroz cozido - escumadeira média cheia
6300101,"ARROZ (POLIDO, PARBOILIZADO)",99,NAO SE APLICA,35,GARFADA,12,COLHER DE ARROZ/SERVIR,25,1,Arroz cozido - colher de sopa cheia
6300101,"ARROZ (POLIDO, PARBOILIZADO)",99,NAO SE APLICA,68,GRAMA,12,COLHER DE ARROZ/SERVIR,1,15,Grama
6300101,"ARROZ (POLIDO, PARBOILIZADO)",99,NAO SE APLICA,82,PEGADOR,12,COLHER DE ARROZ/SERVIR,25,1,Arroz cozido - colher de sopa cheia
